Wall time,Step,Value
1670992002.702585,92255,5.881453514099121
1670992002.948362,92260,6.297062397003174
1670992035.37648,92752,5.611685752868652
1670992097.088211,93716,7.098501682281494
1670992099.687498,93760,6.152251720428467
1670992100.088343,93768,6.619927406311035
1670992115.210362,94006,5.99089241027832
1670992115.622871,94014,6.364506244659424
1670992146.468815,94501,5.484516143798828
1670992168.634348,94874,5.360621452331543
1670992289.158568,94991,6.466895580291748
1670992305.712388,95238,6.1823601722717285
1670992334.347683,95689,6.575639724731445
1670992364.204816,96149,5.431361198425293
1670992424.009867,97021,6.692863464355469
1670992480.069424,97902,6.333559989929199
1670992637.214183,98540,5.342329978942871
1670992670.465472,99052,5.920584678649902
1670992674.133713,99103,6.629652500152588
1670992681.75232,99213,6.258845806121826
1670992695.357395,99421,5.287560939788818
1670992734.420041,99990,6.358267307281494
1670992758.758177,100360,5.649580001831055
1670992777.465697,100659,5.3178935050964355
1670992786.038741,100797,6.060029983520508
1670992787.471819,100816,5.899176597595215
1670992794.603623,100935,6.3966498374938965
1670992805.56272,101101,6.318450450897217
1670992810.373547,101176,6.529227256774902
1670992820.239478,101316,5.260710716247559
1670992981.064134,102053,6.830134391784668
1670992988.43343,102162,7.690662384033203
1670992993.207233,102248,6.043083190917969
1670993009.481904,102510,5.423917770385742
1670993027.873607,102798,6.046700477600098
1670993046.058754,103090,7.4420905113220215
1670993050.671608,103173,7.600141525268555
1670993095.666612,103881,7.526604652404785
1670993122.444936,104291,6.755671977996826
1670993125.556291,104334,5.523249626159668
1670993125.90083,104341,5.859734058380127
1670993126.249269,104348,6.502589225769043
1670993160.746681,104877,7.097322463989258
1670993292.569518,105145,7.167342662811279
1670993300.458458,105247,5.804925918579102
1670993311.987828,105441,6.316153526306152
1670993322.343882,105597,8.033068656921387
1670993323.188332,105614,6.927515506744385
1670993360.663261,106211,6.020419120788574
1670993368.078947,106313,5.577078342437744
1670993371.968719,106364,7.314724922180176
1670993380.556951,106501,6.319034576416016
1670993394.361595,106724,6.065896987915039
1670993415.660194,107067,6.138035774230957
1670993417.090917,107096,5.824114799499512
